,mean_SF_length,SD_SF_length,mean_SF_Morgans,proportion_eyeless,Tadmix
,7450.331262939959,516.8645628395604,8.642384265010353e-05,0.8521616345204192,13578.27030035311
,5477.7400881057265,996.6873803925956,6.354178502202642e-05,0.948915198,16584.91258550927
,8483.347676419966,513.4275328754185,9.84068330464716e-05,0.7973537478575102,12744.526498716326
,7981.129555,1029.8676708060857,9.258110283400809e-05,0.9190110530285726,11753.221352634191
,10175.941176470587,619.8545140280446,0.000118041,0.7866332468394681,10769.48969824387
,10307.75,1327.295673143053,0.00011957,0.9168428451935101,9121.856455438154
,8895.809917355371,677.8065807837206,0.000103191,0.8673349399609874,11172.99679817293
,7996.864197530864,1658.9110447981898,9.276362469135802e-05,0.9733885108320008,11074.804640866721
,8352.609271523179,583.6611704268818,9.689026754966888e-05,0.8445521189901417,12220.624192916903
,7105.690355329949,1247.3722352694213,8.24260081218274e-05,0.942490851,12872.372221749562
,9570.067251,714.4949312171743,0.000111013,0.8655361524088733,10407.389501165648
,9439.107142857143,1611.7669183215291,0.000109494,0.9565676451593289,9547.626203970149
,8008.364392678868,448.66119926140135,9.289702695507487e-05,0.8021111021640995,13420.344282449745
,8085.914556962025,1049.2074067341123,9.37966088607595e-05,0.8950262603919996,11911.791554090352
,9047.718487394957,668.2017661354959,0.000104954,0.8229103843581405,11578.449042356197
,10484.808139534884,1424.5817905394233,0.000121624,0.9259110614095487,8879.985376
,2163.1024405908797,60.19695680517421,2.5091988310854204e-05,0.7232675207593493,55101.822122155885
,1955.3202497769848,128.71884200116455,2.2681714897413022e-05,0.9099491225446615,48451.474947495684
,10265.646153846154,860.1984895668076,0.000119081,0.8903461014492515,9431.849425734224
,2351.25,646.8665595262545,2.7274499999999998e-05,0.9984544493945156,36721.037710307115
,9218.088932806324,681.3688393357703,0.00010693,0.8082183687991047,11571.040146232604
,8392.629441624365,1113.5443341407174,9.735450152284264e-05,0.931920139,11022.123311906631
,9712.629213483146,686.5743509302545,0.000112666,0.8224334082143426,10792.062645617541
,10460.18125,1726.1602485758708,0.000121338,0.9312419374187579,8849.938958031722
,7906.243567753002,511.3440309318764,9.171242538593482e-05,0.8104683733182585,13453.514436014919
,8132.0317460317465,965.8631857,9.433156825396826e-05,0.9158093147155152,11575.450148755841
,10309.347826086956,1041.2771106374219,0.000119588,0.9220684249187785,9068.754971801713
,4242.736842105263,2433.643731514975,4.921574736842105e-05,0.9966881997498854,20386.214948741752
,10676.182965299684,919.6732187074075,0.000123844,0.860960016,9378.708115109557
,4921.8125,1134.3643865028234,5.7093025e-05,0.9935294755645245,17629.34552499457
,8388.986531986531,534.2684580176652,9.731224377104376e-05,0.795132543,12923.882034951595
,7616.494382022472,1787.2659436699255,8.835133483146066e-05,0.9721510021839838,11642.685240095143
,3722.805714285714,151.02134504774642,4.318454628571428e-05,0.7591118876751993,30504.635951046293
,4843.655384615385,776.3993863938919,5.618640246153846e-05,0.9353272935527287,19028.526820968695
mean,,,,,
SE,,,,0.066433521,
,Surface tracts average: 7710.068782751057,,,,
,                    Surface tracts sem: 919.0415233986462,,,,
,                    Eyeless proportion average: 0.8851124802885144,,,,
,                    Mean generations since admixture: 15740.344946026948,,,,
,                   SEM:1866.870065615221,,,,
,                    NOTE:Rows are haplotypes of individuals,,,,